,estado,estadoSigla,municipio,cnes,nomeCnes,dataNotificacaoOcupacao,ofertaRespiradores,ofertaHospCli,ofertaHospUti,ofertaSRAGCli,ofertaSRAGUti,ocupHospCli,ocupHospUti,ocupSRAGCli,ocupSRAGUti,altas,obitos,ocupacaoInformada,algumaOcupacaoInformada
2996,Rio de Janeiro,RJ,Saquarema,2274299,HOSPITAL MUNICIPAL NOSSA SENHORA DE NAZARETH,2020-12-31,5.0,66.0,5.0,15.0,11.0,21.0,5.0,12.0,2,0.0,0,True,True
752,Rio de Janeiro,RJ,Saquarema,7529384,SES RJ HOSPITAL ESTADUAL DOS LAGOS NOSSA SENHORA DE NAZARETH,2021-01-06,0.0,62.0,10.0,0.0,0.0,32.0,7.0,2.0,0,0.0,0,True,True
1278,Rio de Janeiro,RJ,Silva Jardim,2274108,POLICLINICA MUNICIPAL AGUINALDO MORAES,2020-05-13,0.0,40.0,0.0,0.0,0.0,12.0,0.0,2.0,-1,1.0,6,True,True
759,Rio de Janeiro,RJ,São Fidélis,2283328,HOSPITAL ARMANDO VIDAL,2021-01-06,4.0,105.0,7.0,16.0,10.0,35.0,9.0,11.0,2,2.0,0,True,True
1639,Rio de Janeiro,RJ,São Gonçalo,0113115,HOSPITAL DE RETAGUARDA GONCALENSE,2020-12-28,0.0,110.0,0.0,40.0,0.0,57.0,20.0,11.0,12,0.0,1,True,True
206,Rio de Janeiro,RJ,São Gonçalo,2292084,HOSPITAL DR LUIZ PALMIER,2020-09-10,81.0,113.0,0.0,67.0,40.0,0.0,0.0,2.0,0,2.0,0,True,True
2501,Rio de Janeiro,RJ,São Gonçalo,0113891,HOSPITAL FRANCISCANO,2021-01-07,0.0,35.0,0.0,35.0,33.0,9.0,5.0,19.0,12,3.0,2,True,True
239,Rio de Janeiro,RJ,São Gonçalo,2704595,HOSPITAL INFANTIL DARCY SOUZA VARGAS,2020-09-30,7.0,42.0,0.0,20.0,6.0,4.0,5.0,4.0,5,0.0,1,True,True
2764,Rio de Janeiro,RJ,São Gonçalo,2297590,MATERNIDADE MUNICIPAL DR MARIO NIAJAR,2020-09-21,6.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
1997,Rio de Janeiro,RJ,São Gonçalo,2696746,PRONTO SOCORRO CENTRAL DR ARMANDO GOMES DE SA COUTO,2021-01-06,14.0,80.0,5.0,0.0,10.0,0.0,2.0,14.0,5,1.0,0,True,True
2795,Rio de Janeiro,RJ,São João da Barra,6656951,HOSPITAL DE CAMPANHA COVID 19 SAO JOAO DA BARRA,2020-10-22,0.0,20.0,0.0,0.0,0.0,2.0,0.0,2.0,1,2.0,0,True,True
2874,Rio de Janeiro,RJ,São João da Barra,2286289,SANTA CASA DE MISERICORDIA DE SAO JOAO DA BARRA,2020-12-11,10.0,40.0,0.0,0.0,0.0,18.0,0.0,0.0,0,0.0,0,True,True
690,Rio de Janeiro,RJ,São João de Meriti,6518893,SES RJ HOSPITAL DA MULHER HELONEIDA STUDART,2021-01-06,24.0,64.0,10.0,0.0,8.0,46.0,33.0,0.0,1,0.0,0,True,True
453,Rio de Janeiro,RJ,São Sebastião do Alto,2704633,HOSPITAL SAO SEBASTIAO,2021-01-02,3.0,52.0,0.0,20.0,5.0,3.0,0.0,0.0,0,0.0,0,True,True
1966,Rio de Janeiro,RJ,Teresópolis,2297795,HOSPITAL DAS CLINICAS DE TERESOPOLIS,2021-01-06,13.0,182.0,5.0,28.0,15.0,23.0,13.0,9.0,13,3.0,0,True,True
698,Rio de Janeiro,RJ,Teresópolis,2292386,HOSPITAL SAO JOSE,2021-01-05,14.0,96.0,13.0,33.0,8.0,59.0,19.0,13.0,7,4.0,0,True,True
594,Rio de Janeiro,RJ,Trajano de Moraes,3584968,HOSPITAL FRANCISCO LIMONGI,2021-01-06,1.0,41.0,0.0,0.0,0.0,10.0,0.0,0.0,0,0.0,0,True,True
3743,Rio de Janeiro,RJ,Três Rios,2294923,HOSPITAL DE CLINICAS NOSSA SENHORA DA CONCEICAO,2021-01-07,15.0,80.0,9.0,0.0,8.0,61.0,27.0,4.0,14,0.0,0,True,True
3695,Rio de Janeiro,RJ,Valença,2292912,HOSPITAL ESCOLA LUIZ GIOSEFFI JANNUZZI,2021-01-06,31.0,198.0,20.0,30.0,10.0,78.0,32.0,22.0,16,0.0,0,True,True
28,Rio de Janeiro,RJ,Valença,2295075,HOSPITAL GUSTAVO MONTEIRO JUNIOR,2020-05-28,1.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,True,True
2009,Rio de Janeiro,RJ,Valença,2295105,HOSPITAL SANTA ISABEL,2021-01-06,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
1314,Rio de Janeiro,RJ,Varre-Sai,2704390,HOSPITAL SAO SEBASTIAO DE VARRESAI,2020-05-22,1.0,23.0,0.0,0.0,0.0,16.0,2.0,4.0,0,2.0,0,True,True
1748,Rio de Janeiro,RJ,Vassouras,2273748,HUV HOSPITAL UNIVERSITARIO DE VASSOURAS,2021-01-04,34.0,186.0,20.0,0.0,50.0,41.0,55.0,0.0,43,6.0,1,True,True
2585,Rio de Janeiro,RJ,Volta Redonda,2708078,CAIS ATERRADO CENTRO DE ASSIST INTERM DE SAUDE ATERRADO,2020-07-28,1.0,48.0,0.0,0.0,0.0,23.0,2.0,0.0,0,0.0,0,True,True
1337,Rio de Janeiro,RJ,Volta Redonda,0025135,HOSPITAL MUNICIPAL SAO JOAO BATISTA,2020-06-15,28.0,157.0,11.0,10.0,10.0,0.0,10.0,0.0,5,0.0,2,True,True
3674,Rio de Janeiro,RJ,Volta Redonda,9074457,SES RJ HOSP REGIONAL MEDIO PARAIBA DRA ZILDA ARNS NEUMANN,2021-01-06,35.0,175.0,10.0,149.0,80.0,82.0,97.0,82.0,97,10.0,10,True,True
1435,Rio Grande do Norte,RN,Alexandria,2407574,HOSPITAL MATERNIDADE GUIOMAR FERNANDES,2020-08-27,1.0,52.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0.0,0,True,True
2834,Rio Grande do Norte,RN,Alexandria,2407566,HOSPITAL MATERNIDADE JOAQUINA QUEIROZ,2020-11-23,1.0,51.0,0.0,0.0,0.0,3.0,0.0,1.0,0,1.0,0,True,True
2265,Rio Grande do Norte,RN,Apodi,2410443,HOSPITAL REGIONAL HELIO MORAIS MARINHO,2021-01-06,3.0,52.0,0.0,6.0,0.0,6.0,2.0,1.0,0,0.0,0,True,True
3382,Rio Grande do Norte,RN,Açu,2410486,HOSPITAL REGIONAL NELSON INACIO DOS SANTOS,2021-01-06,0.0,52.0,0.0,4.0,0.0,0.0,0.0,0.0,4,0.0,0,True,True
2425,Rio Grande do Norte,RN,Caicó,6778550,HOSPITAL REGIONAL TELECILA FREITAS FONTES,2021-01-06,20.0,83.0,0.0,13.0,27.0,2.0,9.0,4.0,10,4.0,1,True,True
201,Rio Grande do Norte,RN,Caraúbas,2410141,HOSPITAL REGIONAL DR AGUINALDO PEREIRA,2020-09-06,0.0,32.0,0.0,2.0,0.0,0.0,0.0,1.0,0,0.0,0,True,True
2285,Rio Grande do Norte,RN,Currais Novos,2476487,HOSPITAL DR MARIANO COELHO,2021-01-06,3.0,104.0,0.0,1.0,0.0,1.0,3.0,3.0,2,0.0,0,True,True
3566,Rio Grande do Norte,RN,Currais Novos,7997663,PRONTO SOCORRO MUNICIPAL,2021-01-06,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,True,True
2284,Rio Grande do Norte,RN,Guamaré,2474506,HOSPITAL MANOEL LUCAS DE MIRANDA,2021-01-06,1.0,32.0,0.0,0.0,5.0,1.0,2.0,1.0,0,0.0,0,True,True
3398,Rio Grande do Norte,RN,João Câmara,2474751,HOSPITAL REGIONAL DE JOAO CAMARA,2021-01-06,1.0,34.0,0.0,6.0,0.0,0.0,0.0,2.0,0,0.0,0,True,True
3399,Rio Grande do Norte,RN,Jucurutu,2475847,HOSPITAL MATERNIDADE TEREZINHA LULA DE QUEIROZ SANTOS,2021-01-06,0.0,49.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,True,True
2283,Rio Grande do Norte,RN,Macaíba,2473577,HOSPITAL REGIONAL ALFREDO MESQUITA,2021-01-06,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0,True,True
1122,Rio Grande do Norte,RN,Mossoró,5608910,CENTRO MEDICO RODOLFO FERNANDES,2021-01-06,0.0,16.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0,True,True
1547,Rio Grande do Norte,RN,Mossoró,3675580,HOSPITAL DA LMECC,2020-10-31,18.0,72.0,9.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0,True,True
3744,Rio Grande do Norte,RN,Mossoró,2410281,HOSPITAL MATERNIDADE ALMEIDA CASTRO,2021-01-06,20.0,193.0,8.0,30.0,25.0,21.0,25.0,21.0,25,6.0,0,True,True
2288,Rio Grande do Norte,RN,Mossoró,2503654,HOSPITAL RAFAEL FERNANDES,2021-01-06,2.0,46.0,0.0,46.0,0.0,0.0,4.0,0.0,2,0.0,0,True,True
1026,Rio Grande do Norte,RN,Mossoró,2503689,HOSPITAL REGIONAL DR TARCISIO DE VASCONCELOS MAIA,2021-01-06,14.0,134.0,9.0,0.0,20.0,1.0,1.0,3.0,6,1.0,0,True,True
2452,Rio Grande do Norte,RN,Mossoró,9119701,HOSPITAL SAO LUIZ LTDA,2021-01-06,10.0,60.0,10.0,0.0,0.0,3.0,6.0,14.0,16,8.0,0,True,True
2230,Rio Grande do Norte,RN,Mossoró,2371707,HOSPITAL WILSON ROSADO,2021-01-06,41.0,141.0,20.0,0.0,0.0,0.0,2.0,0.0,1,0.0,0,True,True
3435,Rio Grande do Norte,RN,Natal,2654016,CASA DE SAUDE SAO LUCAS,2021-01-06,0.0,117.0,21.0,0.0,0.0,1.0,0.0,15.0,4,0.0,0,True,True
1052,Rio Grande do Norte,RN,Natal,2654024,HOSPITAL ANTONIO PRUDENTE NATAL,2021-01-06,0.0,14.0,0.0,0.0,0.0,10.0,4.0,0.0,1,0.0,0,True,True
2708,Rio Grande do Norte,RN,Natal,2679469,HOSPITAL CENTRAL CORONEL PEDRO GERMANO,2020-08-29,9.0,80.0,4.0,0.0,20.0,0.0,0.0,0.0,0,4.0,0,True,True
1007,Rio Grande do Norte,RN,Natal,2408260,HOSPITAL COLONIA DR JOAO MACHADO,2021-01-06,0.0,171.0,20.0,171.0,0.0,4.0,5.0,2.0,8,6.0,2,True,True
3582,Rio Grande do Norte,RN,Natal,0104515,HOSPITAL DE CAMPANHA COVID 19 SMS NATAL RN,2021-01-06,0.0,100.0,0.0,60.0,20.0,25.0,6.0,19.0,10,6.0,0,True,True
1170,Rio Grande do Norte,RN,Natal,8003629,HOSPITAL DO CORACAO DE NATAL,2021-01-06,33.0,110.0,13.0,0.0,0.0,0.0,1.0,0.0,26,0.0,0,True,True
1008,Rio Grande do Norte,RN,Natal,2408570,HOSPITAL DR JOSE PEDRO BEZERRA,2021-01-06,39.0,172.0,10.0,7.0,5.0,3.0,0.0,1.0,0,0.0,0,True,True
2890,Rio Grande do Norte,RN,Natal,2409194,HOSPITAL DR LUIZ ANTONIO,2020-12-17,21.0,274.0,4.0,20.0,24.0,40.0,6.0,2.0,0,0.0,0,True,True
1559,Rio Grande do Norte,RN,Natal,5314267,HOSPITAL ESTADUAL DOUTOR RUY PEREIRA DOS SANTOS,2020-11-10,10.0,81.0,10.0,5.0,0.0,0.0,0.0,1.0,0,0.0,0,True,True
1115,Rio Grande do Norte,RN,Natal,4013484,HOSPITAL GISELDA TRIGUEIRO,2021-01-06,8.0,121.0,7.0,0.0,25.0,3.0,9.0,0.0,14,0.0,0,True,True
1009,Rio Grande do Norte,RN,Natal,2409151,HOSPITAL INFANTIL VARELA SANTIAGO,2021-01-06,25.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
1053,Rio Grande do Norte,RN,Natal,2654261,HOSPITAL MARIA ALICE FERNANDES,2021-01-06,29.0,62.0,5.0,22.0,7.0,8.0,2.0,0.0,0,2.0,0,True,True
287,Rio Grande do Norte,RN,Natal,2408252,HOSPITAL MEMORIAL,2020-11-03,0.0,58.0,14.0,0.0,7.0,0.0,0.0,0.0,0,1.0,0,True,True
1050,Rio Grande do Norte,RN,Natal,2653923,HOSPITAL MONSENHOR WALFREDO GURGEL,2021-01-06,81.0,340.0,45.0,4.0,4.0,1.0,2.0,2.0,1,0.0,0,True,True
2389,Rio Grande do Norte,RN,Natal,3708926,HOSPITAL MUNICIPAL DE NATAL,2021-01-06,14.0,87.0,10.0,27.0,24.0,0.0,0.0,1.0,0,0.0,0,True,True
1504,Rio Grande do Norte,RN,Natal,2656930,HOSPITAL RIO GRANDE,2020-10-03,0.0,85.0,5.0,10.0,5.0,0.0,0.0,0.0,0,1.0,0,True,True
2387,Rio Grande do Norte,RN,Natal,3649563,HOSPITAL UNIMED,2021-01-06,0.0,81.0,19.0,0.0,0.0,0.0,0.0,3.0,5,0.0,0,True,True
1051,Rio Grande do Norte,RN,Natal,2653982,HUOL HOSPITAL UNIVERSITARIO ONOFRE LOPES,2021-01-06,55.0,211.0,24.0,0.0,0.0,4.0,0.0,1.0,0,0.0,0,True,True
415,Rio Grande do Norte,RN,Natal,2409208,MATERNIDADE ESCOLA JANUARIO CICCO,2020-12-30,22.0,87.0,6.0,0.0,0.0,71.0,2.0,2.0,0,0.0,0,True,True
2364,Rio Grande do Norte,RN,Natal,2798727,POLICLINICA,2021-01-06,8.0,103.0,4.0,0.0,0.0,1.0,2.0,9.0,2,0.0,0,True,True
2321,Rio Grande do Norte,RN,Natal,2654032,PROMATER,2021-01-06,0.0,107.0,20.0,0.0,0.0,2.0,0.0,10.0,4,0.0,0,True,True
1202,Rio Grande do Norte,RN,Parnamirim,0105678,HOSPITAL DE CAMPANHA COVID 19,2021-01-06,0.0,52.0,0.0,14.0,0.0,7.0,0.0,6.0,0,2.0,0,True,True
1024,Rio Grande do Norte,RN,Parnamirim,2473380,HOSPITAL MATERNIDADE DO DIVINO AMOR,2021-01-06,3.0,53.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2.0,0,True,True
2382,Rio Grande do Norte,RN,Parnamirim,3515168,HOSPITAL REGIONAL DEOCLECIO MARQUES DE LUCENA,2021-01-06,20.0,76.0,10.0,0.0,7.0,2.0,0.0,1.0,0,0.0,0,True,True
1010,Rio Grande do Norte,RN,Pau dos Ferros,2409275,HOSPITAL REGIONAL DR CLEODON CARLOS DE ANDRADE,2021-01-06,10.0,69.0,6.0,4.0,10.0,7.0,6.0,4.0,1,0.0,2,True,True
613,Rio Grande do Norte,RN,Pendências,2407841,HOSPITAL MATERNIDADE LEVANI DE FREITAS,2021-01-05,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,True,True
2561,Rio Grande do Norte,RN,Portalegre,2409399,APAMI DE PORTALEGRE,2020-06-04,0.0,31.0,0.0,0.0,0.0,2.0,0.0,0.0,0,2.0,0,True,True
1544,Rio Grande do Norte,RN,Rodolfo Fernandes,2407434,HOSPITAL MUNICIPAL DE RODOLFO FERNANDES,2020-10-30,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
3517,Rio Grande do Norte,RN,Santa Cruz,4014138,HOSPITAL MUNICIPAL ALUIZIO BEZERRA,2021-01-06,1.0,32.0,0.0,22.0,5.0,0.0,0.0,0.0,2,0.0,0,True,True
1689,Rio Grande do Norte,RN,Santa Cruz,4014111,HOSPITAL UNIVERSITARIO ANA BEZERRA HUAB,2021-01-03,14.0,50.0,0.0,0.0,0.0,23.0,0.0,1.0,0,0.0,0,True,True
975,Rio Grande do Norte,RN,Santo Antônio,2375265,HOSPITAL REGIONAL LINDOLFO GOMES VIDAL,2021-01-06,1.0,46.0,0.0,7.0,0.0,0.0,0.0,1.0,1,0.0,0,True,True
1622,Rio Grande do Norte,RN,Severiano Melo,2380633,HOSPITAL MATERNIDADE BENVENUTO HOLANDA NETO,2020-12-21,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2475,Rio Grande do Norte,RN,São Gonçalo do Amarante,0104884,HOSPITAL DE CAMPANHA COVID 19,2021-01-06,33.0,70.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1.0,0,True,True
1502,Rio Grande do Norte,RN,São Gonçalo do Amarante,4014235,HOSPITAL MATERNIDADE BELARMINA MONTE,2020-10-01,1.0,64.0,0.0,0.0,10.0,0.0,0.0,0.0,0,1.0,0,True,True
3364,Rio Grande do Norte,RN,São Miguel,2381206,HOSPITAL AUREA MAIA DE FIGUEIREDO,2021-01-06,0.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,True,True
1025,Rio Grande do Norte,RN,São Paulo do Potengi,2475227,UNID MAT INFANTIL INTEGRADA DE SAO PAULO DO POTENGI,2021-01-06,1.0,40.0,0.0,4.0,0.0,1.0,1.0,0.0,1,0.0,2,True,True
506,Rio Grande do Norte,RN,Taboleiro Grande,2380455,HOSPITAL MATERNIDADE RAIMUNDA BESSA,2021-01-04,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
13,Rio Grande do Norte,RN,Touros,2593874,HOSPITAL MINISTRO PAULO DE ALMEIDA MACHADO,2020-08-05,0.0,30.0,0.0,0.0,0.0,7.0,0.0,1.0,0,0.0,0,True,True
1982,Rondônia,RO,Ariquemes,2494280,HOSPITAL DA CRIANCA DE ARIQUEMES,2021-01-06,0.0,31.0,0.0,0.0,0.0,7.0,0.0,1.0,0,1.0,0,True,True
644,Rondônia,RO,Ariquemes,0102091,HOSPITAL DE CAMPANHA COVID 19 C DE AFECCOES RESPIRATORIAS,2021-01-06,2.0,16.0,0.0,16.0,18.0,0.0,0.0,8.0,18,2.0,1,True,True
721,Rondônia,RO,Ariquemes,9502432,SF SERVICOS MEDICOS INTENSIVE LTDA ME,2021-01-06,10.0,23.0,0.0,0.0,0.0,0.0,9.0,0.0,4,0.0,0,True,True
730,Rondônia,RO,Buritis,2807076,HOSPITAL REGIONAL DE BURITIS,2021-01-06,4.0,30.0,0.0,12.0,0.0,8.0,0.0,2.0,0,0.0,0,True,True
534,Rondônia,RO,Cacoal,6599877,HOSPITAL REGIONAL DE CACOAL HRC,2020-12-29,31.0,152.0,27.0,22.0,29.0,37.0,7.0,10.0,26,5.0,0,True,True
3101,Rondônia,RO,Guajará-Mirim,6804497,HOSPITAL BOM PASTOR,2021-01-05,1.0,68.0,0.0,0.0,0.0,28.0,0.0,0.0,0,0.0,0,True,True
512,Rondônia,RO,Jaru,2808609,HOSPITAL MUNICIPAL SANDOVAL DE ARAUJO DANTAS JARU,2021-01-05,2.0,100.0,0.0,9.0,5.0,2.0,0.0,4.0,4,0.0,0,True,True
1756,Rondônia,RO,Ji-Paraná,3152928,HOSPITAL CANDIDO RONDON,2020-12-25,0.0,43.0,6.0,15.0,6.0,7.0,7.0,3.0,7,1.0,2,True,True
508,Rondônia,RO,Ji-Paraná,2495279,HOSPITAL DR CLAUDIONOR COUTO RORIZ,2021-01-05,3.0,171.0,0.0,22.0,0.0,63.0,0.0,16.0,5,2.0,0,True,True
2891,Rondônia,RO,Ouro Preto do Oeste,2516284,HOSPITAL MATER DEI OURO PRETO DO OESTE,2020-12-17,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,True,True
3653,Rondônia,RO,Porto Velho,2493853,CEMETRON PORTO VELHO,2021-01-06,18.0,57.0,7.0,60.0,19.0,44.0,11.0,22.0,6,5.0,2,True,True
726,Rondônia,RO,Porto Velho,2515458,HOSPITAL DAS CLINICAS PORTO VELHO,2021-01-06,4.0,37.0,0.0,0.0,0.0,3.0,1.0,7.0,4,0.0,0,True,True
84,Rondônia,RO,Porto Velho,7068336,HOSPITAL DE AMOR AMAZONIA,2020-05-20,18.0,99.0,20.0,49.0,12.0,19.0,8.0,1.0,4,0.0,0,True,True
448,Rondônia,RO,Porto Velho,4001303,HOSPITAL DE BASE PORTO VELHO,2020-11-30,25.0,460.0,25.0,63.0,12.0,314.0,40.0,30.0,8,5.0,0,True,True
316,Rondônia,RO,Porto Velho,0213837,HOSPITAL DE CAMPANHA DE RONDONIA,2020-11-23,0.0,10.0,0.0,10.0,20.0,0.0,0.0,34.0,20,3.0,1,True,True
1623,Rondônia,RO,Porto Velho,2493896,HOSPITAL INFANTIL COSME E DAMIAO PORTO VELHO,2020-12-22,16.0,119.0,0.0,18.0,7.0,62.0,4.0,9.0,1,0.0,0,True,True
339,Rondônia,RO,Porto Velho,2493888,HOSPITAL JOAO PAULO II PORTO VELHO,2020-12-04,48.0,134.0,45.0,14.0,8.0,130.0,10.0,0.0,2,0.0,0,True,True
450,Rondônia,RO,Porto Velho,2515369,HOSPITAL SAMAR,2020-12-31,50.0,183.0,30.0,50.0,20.0,0.0,22.0,0.0,22,2.0,2,True,True
195,Rondônia,RO,Porto Velho,6205224,HOSPITAL UNIMED,2020-08-31,0.0,91.0,10.0,0.0,0.0,35.0,7.0,8.0,5,1.0,0,True,True
2525,Rondônia,RO,São Francisco do Guaporé,7218656,HOSPITAL REGIONAL DE SAO FRANCISCO,2020-08-06,1.0,30.0,0.0,9.0,1.0,8.0,0.0,1.0,0,0.0,0,True,True
668,Rondônia,RO,Vilhena,2798484,HOSPITAL REGIONAL ADAMASTOR TEIXEIRA DE OLIVEIRA,2021-01-06,13.0,205.0,10.0,26.0,10.0,104.0,18.0,18.0,12,4.0,0,True,True
2989,Roraima,RR,Boa Vista,2320681,HOSPITAL DA CRIANCA SANTO ANTONIO,2021-01-04,3.0,128.0,11.0,33.0,5.0,78.0,5.0,20.0,3,2.0,0,True,True
90,Roraima,RR,Boa Vista,9472339,HOSPITAL DAS CLINICAS DR WILSON FRANCO RODRIGUES,2020-07-07,11.0,146.0,6.0,0.0,0.0,140.0,9.0,21.0,0,3.0,0,True,True
2897,Roraima,RR,Boa Vista,2319659,HOSPITAL GERAL DE RORAIMA HGR,2020-12-17,65.0,394.0,20.0,133.0,30.0,145.0,26.0,80.0,10,11.0,6,True,True
56,Roraima,RR,Boa Vista,2566168,HOSPITAL MATERNO INFANTIL N SRA DE NAZARETH,2020-07-16,36.0,185.0,0.0,29.0,4.0,108.0,23.0,8.0,4,1.0,0,True,True
307,Roraima,RR,Rorainópolis,7470371,HOSPITAL REGIONAL SUL GOVERNADOR OTTOMAR DE SOUZA PINTO,2020-11-17,3.0,30.0,0.0,10.0,5.0,5.0,5.0,1.0,1,1.0,0,True,True
2205,Rio Grande do Sul,RS,Aceguá,2262010,HOSPITAL DA COLONIA NOVA,2021-01-06,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,True,True
913,Rio Grande do Sul,RS,Agudo,2234386,HOSPITAL AGUDO,2021-01-06,3.0,52.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0,True,True
956,Rio Grande do Sul,RS,Ajuricaba,2265885,HOSPITAL AJURICABA,2021-01-06,2.0,50.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0,True,True
1771,Rio Grande do Sul,RS,Alecrim,2707993,HOSPITAL DE CARIDADE DE ALECRIM,2021-01-05,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2180,Rio Grande do Sul,RS,Alegrete,2248328,SANTA CASA DE ALEGRETE,2021-01-06,31.0,162.0,8.0,14.0,7.0,0.0,15.0,12.0,8,0.0,0,True,True
3276,Rio Grande do Sul,RS,Alpestre,2228564,HOSPITAL NOSSA SENHORA,2021-01-06,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
3281,Rio Grande do Sul,RS,Alvorada,2232081,HOSPITAL ALVORADA,2021-01-06,8.0,90.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,0,True,True
1706,Rio Grande do Sul,RS,Ametista do Sul,2228629,HOSPITAL SAO GABRIEL AMETISTA DO SUL,2021-01-04,1.0,28.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,2,True,True
2460,Rio Grande do Sul,RS,Anta Gorda,9309470,HOSPITAL PADRE CATELLI,2021-01-06,1.0,38.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0,True,True
3296,Rio Grande do Sul,RS,Antônio Prado,2241072,HOSPITAL SAO JOSE,2021-01-06,2.0,51.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,2,True,True
2181,Rio Grande do Sul,RS,Aratiba,2249502,ACHA ARATIBA,2021-01-06,0.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,True,True
912,Rio Grande do Sul,RS,Arroio Grande,2233428,SANTA CASA DE MISERICORDIA DE ARROIO GRANDE,2021-01-06,2.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2977,Rio Grande do Sul,RS,Arroio do Meio,2252198,HOSPITAL SAO JOSE ARROIO DO MEIO,2021-01-03,4.0,83.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0,True,True
914,Rio Grande do Sul,RS,Arroio do Tigre,2234424,HOSPITAL SANTA ROSA DE LIMA,2021-01-06,1.0,76.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0,True,True
2189,Rio Grande do Sul,RS,Arvorezinha,2252163,HOSPITAL BENEFICENTE SAO JOAO ARVOREZINHA,2021-01-06,2.0,60.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0.0,2,True,True
947,Rio Grande do Sul,RS,Augusto Pestana,2261081,HOSPITAL SAO FRANCISCO,2021-01-06,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2203,Rio Grande do Sul,RS,Bagé,2261995,HOSPITAL UNIVERSITARIO URCAMP,2021-01-06,5.0,50.0,10.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0,True,True
950,Rio Grande do Sul,RS,Bagé,2261987,SANTA CASA DE CARIDADE DE BAGE,2021-01-06,35.0,170.0,17.0,16.0,14.0,0.0,14.0,18.0,5,0.0,1,True,True
3586,Rio Grande do Sul,RS,Bento Gonçalves,0133973,HOSPITAL DE CAMPANHA COVID 19 COMPLEXO DE SAUDE,2021-01-06,0.0,40.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0,True,True
3295,Rio Grande do Sul,RS,Bento Gonçalves,2241021,HOSPITAL TACCHINI,2021-01-06,60.0,238.0,20.0,12.0,10.0,0.0,43.0,17.0,23,1.0,6,True,True
2184,Rio Grande do Sul,RS,Boa Vista do Buricá,2250705,HOSPITAL DE CARIDADE BOA VISTA,2021-01-06,2.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,True,True
3529,Rio Grande do Sul,RS,Bom Jesus,6011926,HOSPITAL DE BOM JESUS,2021-01-06,0.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,True,True
472,Rio Grande do Sul,RS,Bom Princípio,2241129,HOSPITAL SAO PEDRO CANISIO,2021-01-04,0.0,43.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0,True,True
933,Rio Grande do Sul,RS,Bom Retiro do Sul,2252023,HOSPITAL DE CARIDADE SANTANA BOM RETIRO DO SUL,2021-01-06,0.0,50.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0,True,True
934,Rio Grande do Sul,RS,Boqueirão do Leão,2252058,HOSP DR ANUAR ELIAS AESSE BOQUEIRAO DO LEAO,2021-01-06,0.0,40.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,1,True,True
